C100

DEPOSITOS: 2   VEHICULOS_POR_DEPOSITO: 25   CAPACIDAD: 200

DEPOSITOS
ID     X        Y        DEMANDA   E_I     L_I     S_I   
D0     19.62    80.00    0         0       1236    0     
D1     35.76    62.12    0         0       1236    0     

CLIENTES
ID     X        Y        DEMANDA   E_I     L_I     S_I   
1      45       68       10        912     967     90    
2      45       70       30        825     870     90    
3     30       50       10        10      73      90    
4     30       52       20        914     965     90    
5     28       52       20        812     883     90    
6     28       55       10        732     777     90    
7     25       50       10        65      144     90    
8     25       52       40        169     224     90    
